  STATES      Coupling(eV)
  25   30    -0.0337817900 
  25   31    -0.0062178140 
  25   32     0.0338796000 
  25   33     0.0830772200 
  25   34     0.0734181400 
  25   35    -0.0436060600 
  25   36     0.0141977100 
  25   37     0.0138953900 
  25   38    -0.1282378000 
  25   39     0.0882420200 
  25   40     0.0344907700 
  26   27     0.0024108140 
  26   28    -0.0037598040 
  26   29    -0.0030003680 
  26   30    -0.0035093730 
  26   31    -0.0006959328 
  26   32     0.0063008720 
  26   33     0.0078165570 
  26   34    -0.0008686726 
  26   35     0.0016435240 
  26   36     0.0025211780 
  26   37     0.0007034699 
  26   38     0.0021540070 
  26   39    -0.0006965897 
  26   40     0.0016263020 
  27   28     0.0001471157 
  27   29    -0.0004897860 
  27   30     0.0130603000 
  27   31    -0.0046563740 
  27   32    -0.0008273460 
  27   33     0.0528904100 
  27   34     0.0331065100 
  27   35     0.0631556700 
  27   36     0.0091860470 
  27   37     0.0120183100 
  27   38    -0.0791331100 
  27   39     0.0823618400 
  27   40     0.0131280700 
  28   29    -0.0012800800 
  28   30    -0.0000429240 
  28   31    -0.0003728305 
  28   32     0.0004465496 
  28   33    -0.0048531300 
  28   34    -0.0047632200 
  28   35     0.0035177200 
  28   36     0.0102258400 
  28   37     0.0090408840 
  28   38    -0.0089814470 
  28   39    -0.0011723840 
  28   40     0.0002806899 
  29   30     0.0000326891 
  29   31     0.0005655379 
  29   32    -0.0012069000 
  29   33     0.0073359940 
  29   34     0.0098789540 
  29   35    -0.0050723160 
  29   36    -0.0251138500 
  29   37    -0.0276315400 
  29   38     0.0115279400 
  29   39     0.0099508510 
  29   40     0.0247846800 
  30   31     0.0022761990 
  30   32    -0.0175841500 
  30   33     0.0401747500 
  30   34    -0.0300815400 
  30   35    -0.0436214500 
  30   36     0.0045746170 
  30   37     0.0035815520 
  30   38    -0.0358369100 
  30   39     0.0673938900 
  30   40     0.0135720600 
  31   32     0.0038664760 
  31   33     0.0049426160 
  31   34     0.0062724110 
  31   35     0.0112974200 
  31   36     0.0000664386 
  31   37    -0.0000754082 
  31   38     0.0009314736 
  31   39    -0.0158535200 
  31   40     0.0043207130 
  32   33    -0.0210577900 
  32   34     0.0305639500 
  32   35     0.0362316100 
  32   36    -0.0016377210 
  32   37    -0.0004865533 
  32   38     0.0121607400 
  32   39     0.0450881300 
  32   40    -0.0091988940 
  33   34     0.0085854780 
  33   35     0.0085531160 
  33   36    -0.0012106290 
  33   37    -0.0008516755 
  33   38    -0.0178672900 
  33   39     0.0263634300 
  33   40    -0.0162629500 
  34   35    -0.0103042100 
  34   36    -0.0005308598 
  34   37    -0.0007854099 
  34   38    -0.0208881900 
  34   39    -0.0000804622 
  34   40    -0.0102955100 
  35   36     0.0003068259 
  35   37     0.0012221760 
  35   38     0.0054716150 
  35   39     0.0045789540 
  35   40     0.0082169670 
  36   37    -0.0099996560 
  36   38    -0.0067744820 
  36   39     0.0067683980 
  36   40     0.0314569000 
  37   38    -0.0026311900 
  37   39     0.0031610100 
  37   40     0.0229327400 
  38   39    -0.0024735810 
  38   40     0.0206522800 
  39   40    -0.0178233600 
